_raw_inchikey,_raw_smiles,_raw_molweight,_raw_smiles_standard,_raw_standard_molweight,_prototype_ECPF4_256_6,_feat_AtomCount_C,_feat_AtomCount_N,_feat_AvgPol,_feat_MolPol,_feat_Refractivity,_feat_AliphaticRingCount,_feat_AromaticRingCount,_feat_Aliphatic AtomCount,_feat_AromaticAtomCount,_feat_BondCount,_feat_CarboaliphaticRingCount,_feat_CarboaromaticRingCount,_feat_CarboRingCount,_feat_ChainAtomCount,_feat_ChiralCenterCount,_feat_RingAtomCount,_feat_SmallestRingSize,_feat_LargestRingSize,_feat_HeteroaliphaticRingCount,_feat_HeteroaromaticRing Count,_feat_RotatableBondCount,_feat_BalabanIndex,_feat_CyclomaticNumber,_feat_HyperWienerIndex,_feat_WienerIndex,_feat_WienerPolarity,_feat_MinimalProjectionArea,_feat_MaximalProjectionArea,_feat_MinimalProjectionRadius,_feat_MaximalProjectionRadius,_feat_LengthPerpendicularToTheMinArea,_feat_LengthPerpendicularToTheMaxArea,_feat_VanderWaalsVolume,_feat_VanderWaalsSurfaceArea,_feat_ASA,_feat_ASA+,_feat_ASA-,_feat_ASA_H,_feat_ASA_P,_feat_PolarSurfaceArea,_feat_acceptorcount,_feat_Accsitecount,_feat_donorcount,_feat_donsitecount,_feat_fr_NH2,_feat_fr_NH1,_feat_fr_NH0,_feat_fr_quatN,_feat_fr_ArN,_feat_fr_Ar_NH,_feat_fr_Imine,_feat_fr_amidine,_feat_fr_dihydropyridine,_feat_fr_guanido,_feat_fr_piperdine,_feat_fr_piperzine,_feat_fr_pyridine,_feat_maximalprojectionsize,_feat_minimalprojectionsize,_feat_molsurfaceareaVDWp,_feat_msareaVDWp,_feat_molsurfaceareaASAp,_feat_msareaASAp,_feat_ProtPolarSurfaceArea,_feat_Protpsa,_feat_Hacceptorcount,_feat_Hdonorcount,_feat_charge_cnt,_calc_chrg_per_vol,_calc_chrg_per_asa-
QWANGZFTSGZRPZ-UHFFFAOYSA-N,C(=[NH2+])N.[Br-],124.97,NC=[NH2+],45.064,0000000010000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000010000000000010000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000,1,2,4.65,4.73,23.37,0,0,3,0,7,0,0,0,3,0,0,0,0,0,0,0,1.63,0,5,4,0,13.09,21.03,2.59,3.12,5.73,3.5,46.19,78.12,176.39,123.82,52.57,63.83,112.55,51.61,1,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3.5,5.73,78.12,78.12,123.82,123.82,51.61,51.61,1,2,1,0.021649708,0.019022256
VQNVZLDDLJBKNS-UHFFFAOYSA-N,C(=[NH2+])(N)N.[Br-],139.98,NC(N)=[NH2+],60.079,0000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000,1,3,5.94,5.89,26.66,0,0,4,0,9,0,0,0,4,0,0,0,0,0,0,0,2.32,0,12,9,0,15.91,25.66,3.01,3.14,6.29,3.59,57.06,95.68,185.35,120.89,64.46,69.53,115.82,77.63,2,2,3,6,3,0,0,0,0,0,0,0,0,1,0,0,0,3.59,6.29,95.68,95.68,120.89,120.89,77.63,77.63,2,3,1,0.017525412,0.015513497
VMLAEGAAHIIWJX-UHFFFAOYSA-N,CC(C)[NH3+].[I-],187.02,CC(C)[NH3+],60.119,0000010000001000000000000000000000000000000000000000000010001000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3,1,7.93,7.73,30.38,0,0,4,0,13,0,0,0,4,0,0,0,0,0,0,0,2.32,0,12,9,0,21.99,28.47,3.16,3.36,6.58,5.24,76.57,141.67,227.06,167.58,59.48,184.98,42.08,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.24,6.58,141.67,141.67,167.58,167.58,27.64,27.64,0,1,1,0.013059945,0.016812374
JBOIAZWJIACNJF-UHFFFAOYSA-N,C1=CN=C[NH2+]1.[I-],195.99,[NH2+]1C=CN=C1,69.086,0000000000000000000000000000000000000000010100000000000000000000000000000000000000000000000000000000000010000000000010000000000000000101000000000001000000100100000000000000000000001000000011000000000000000000000000000000000000000000000000000010010000000000,3,2,6.88,7.48,30.65,1,0,5,0,10,0,0,0,0,0,5,5,5,1,0,0,1.67,1,20,15,0,17.26,25.56,2.91,3.18,6.06,4.07,62.81,89.55,163.99,144.73,19.26,53.86,110.12,28.97,1,1,1,2,1,0,1,1,0,0,1,0,0,0,0,0,0,4.07,6.06,90.74,90.74,172.41,172.41,26,26,1,2,1,0.015921032,0.05192108
RFYSBVUZWGEPBE-UHFFFAOYSA-N,CC(C)C[NH3+].[Br-],154.05,CC(C)C[NH3+],74.146,0000010000000000100000000000000000000000000000000000000110000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000,4,1,9.83,9.57,34.96,0,0,5,0,16,0,0,0,5,0,0,0,0,0,0,1,2.54,0,28,18,2,22.47,34.13,3.12,3.96,7.79,5.27,93.65,172.19,248.05,189.82,58.23,205.51,42.54,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.27,7.79,172.19,172.19,189.82,189.82,27.64,27.64,0,1,1,0.010678057,0.017173278
FCTHQYIDLRRROX-UHFFFAOYSA-N,[I-].CC(C)C[NH3+],201.05,CC(C)C[NH3+],74.146,0000010000000000100000000000000000000000000000000000000110000000000000000000000000000000000000000000000010000000000000000000000000000001000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000010000000,4,1,9.83,9.57,34.96,0,0,5,0,16,0,0,0,5,0,0,0,0,0,0,1,2.54,0,28,18,2,22.47,34.13,3.12,3.96,7.79,5.27,93.65,172.19,248.05,189.82,58.23,205.51,42.54,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.27,7.79,172.19,172.19,189.82,189.82,27.64,27.64,0,1,1,0.010678057,0.017173278
UZHWWTHDRVLCJU-UHFFFAOYSA-N,CC(CC[NH3+])C.[I-],215.02,CC(C)CC[NH3+],88.173,0000010000000000100000000000000000010000000000000000000110000000000000000000000000000000000000000000000010100000000000000000000000000001000000000000000000000000000000000010000000000000000000000000000000000000010000000000000000000000000000001000000010000000,5,1,11.82,11.42,39.63,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,2,2.63,0,58,32,3,22.8,39.83,3.18,4.6,9.19,5.3,110.65,203.2,282.67,215.08,67.59,234.42,48.24,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.3,9.19,203.2,203.2,215.08,215.08,27.64,27.64,0,1,1,0.009037506,0.014795088
MCEUZMYFCCOOQO-UHFFFAOYSA-L,CC(=O)O[Pb]OC(=O)C.O.O.O,379.33,CC(=O)O[Pb]OC(C)=O,325.300,0010010000000000000000000000000001001000000000000000000011000000000000000000000000000000001110001010000000000000000000000000000000000000001000000000000000000000000100000000000000000000000000000000000001000000000000000000000000000000000000000010000000000000,4,0,12.44,17.77,23.43,0,0,9,0,14,0,0,0,9,0,0,0,0,0,0,4,2.91,0,265,108,6,24.17,47.99,3.08,6.01,11.65,5.34,132.65,211.58,410.09,267.75,142.34,221.87,188.22,52.6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.34,11.65,211.58,211.58,267.75,267.75,52.6,52.6,2,0,0,0,0
ZASWJUOMEGBQCQ-UHFFFAOYSA-L,Br[Pb]Br,367.01,Br[Pb]Br,367.000,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000010000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000,0,0,9.36,15.25,17.47,0,0,3,0,2,0,0,0,3,0,0,0,0,0,0,0,1.63,0,5,4,0,15.44,30.84,2.28,4.51,8.94,3.87,79.56,111.98,267.6,78.34,189.26,0,267.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87,8.94,111.98,111.98,78.34,78.34,0,0,0,0,0,0,0
ISWNAMNOYHCTSB-UHFFFAOYSA-N,C[NH3+].[Br-],111.97,C[NH3+],32.065,0000010000000000000000000000000000000000000000000000000010000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1,1,4.23,4.04,21.21,0,0,2,0,7,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,13.88,17.05,2.33,2.67,4.81,5.08,42.58,81.16,191.44,136.92,54.52,129.54,61.9,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.08,4.81,81.16,81.16,136.92,136.92,27.64,27.64,0,1,1,0.023485204,0.018341893
VAWHFUNJDMQUSB-UHFFFAOYSA-N,C1COCC[NH2+]1.[I-],215.03,C1COCC[NH2+]1,88.129,1100000000000000000000000000000000000000100001000000001000000000000000000000000000000000000000000000000000000000000000000000010000000100000000000000100000000000000000000000000010000100000000000000001000000000010000000000000000000000000000000000000000000000,4,1,9.76,9.53,35.18,1,0,6,0,16,0,0,0,0,0,6,6,6,1,0,0,2,1,42,27,3,23.07,32.51,3.25,3.64,6.7,5.52,92,163.85,230.55,215.5,15.05,191.91,38.63,25.84,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,5.52,6.7,163.85,163.85,215.5,215.5,25.84,25.84,1,1,1,0.010869565,0.066445183
VZXFEELLBDNLAL-UHFFFAOYSA-N,CCCCCCCCCCCC[NH3+].[Br-],266.26,CCCCCCCCCCCC[NH3+],186.362,1000110000000000000000000000000000010001000000000000000110000000000000000000000000000010000010000000000000000001000000000010000000000000000000000000000000000000000000000000001000000000000000001000001000000000000000100000000100001000000000000000000010000000,12,1,26.67,24.35,71.89,0,0,13,0,40,0,0,0,13,0,0,0,0,0,0,10,2.76,0,1365,364,10,32.95,80.65,4.07,9.65,19.06,7.19,229.29,417.97,524.51,398.73,125.78,481.73,42.78,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,7.19,19.06,417.97,417.97,398.73,398.73,27.64,27.64,0,1,1,0.004361289,0.00795039
PXWSKGXEHZHFJA-UHFFFAOYSA-N,[I-].CCCCCCCCCCCC[NH3+],313.26,CCCCCCCCCCCC[NH3+],186.362,1000110000000000000000000000000000010001000000000000000110000000000000000000000000000010000010000000000000000001000000000010000000000000000000000000000000000000000000000000001000000000000000001000001000000000000000100000000100001000000000000000000010000000,12,1,26.67,24.35,71.89,0,0,13,0,40,0,0,0,13,0,0,0,0,0,0,10,2.76,0,1365,364,10,32.95,80.65,4.07,9.65,19.06,7.19,229.29,417.97,524.51,398.73,125.78,481.73,42.78,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,7.19,19.06,417.97,417.97,398.73,398.73,27.64,27.64,0,1,1,0.004361289,0.00795039
VNAAUNTYIONOHR-UHFFFAOYSA-N,CCCCCC[NH3+].[I-],229.11,CCCCCC[NH3+],102.200,1000110000000000000000000000000000010001000000000000000110000000000000000000000000000000000010000000000000000001000000000010000000000000000000000000000000000000000000000000001000001000000000001000000000000000000000100000000100000000000000000000000010000000,6,1,14.07,13.27,44.29,0,0,7,0,22,0,0,0,7,0,0,0,0,0,0,4,2.45,0,126,56,4,20.7,45.87,2.89,5.85,11.69,5.92,127.43,234.33,328.43,246.47,81.96,285.95,42.47,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.92,11.69,234.33,234.33,246.47,246.47,27.64,27.64,0,1,1,0.007847446,0.012201074
HBZSVMFYMAOGRS-UHFFFAOYSA-N,CCCCCCCC[NH3+].[I-],257.16,CCCCCCCC[NH3+],130.254,1000110000000000000000000000000000010001000000000000000110000000000000000000000000000010000010000000000000000001000000000010000000000000000000000000000000000000000000000000001000000000000000001000001000000000000000100000000100001000000000000000000010000000,8,1,18.22,16.96,53.49,0,0,9,0,28,0,0,0,9,0,0,0,0,0,0,6,2.6,0,330,120,6,24.43,57.88,3.21,7.17,14.18,5.48,161.41,295.58,394.28,297.41,96.87,351.81,42.47,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.48,14.18,295.58,295.58,297.41,297.41,27.64,27.64,0,1,1,0.006195403,0.010323113
FEUPHURYMJEUIH-UHFFFAOYSA-N,CC(C)(C)C[NH3+].[Br-],168.08,CC(C)(C)C[NH3+],88.173,0000010000000000000000000000000000000000000001000000000110000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000010000000,5,1,11.59,11.42,39.35,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,1,3.17,0,44,28,3,27.08,34.29,3.38,3.96,7.87,6.2,110.9,207.49,254.69,195.11,59.57,217.8,36.88,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2,7.87,207.49,207.49,195.11,195.11,27.64,27.64,0,1,1,0.009017133,0.016786973
CQWGDVVCKBJLNX-UHFFFAOYSA-N,[I-].CC(C)(C)C[NH3+],215.02,CC(C)(C)C[NH3+],88.173,0000010000000000000000000000000000000000000001000000000110000000000001000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000010000000000000000000000010000000000000000000000000000000000000000000000000000010000000,5,1,11.59,11.42,39.35,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,1,3.17,0,44,28,3,27.08,34.29,3.38,3.96,7.87,6.2,110.9,207.49,254.69,195.11,59.57,217.8,36.88,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2,7.87,207.49,207.49,195.11,195.11,27.64,27.64,0,1,1,0.009017133,0.016786973
IRAGENYJMTVCCV-UHFFFAOYSA-N,c1ccc(cc1)CC[NH3+].[Br-],202.09,[NH3+]CCc1ccccc1,122.190,0001000000000000000000100100010000110000000000000000000110000000000100000000000000000000000010000000000000000000000010010000000000000001001000000000000000100000010000000000000000000000000010000000001000000000000000000000010000000000000000000000100010000000,8,1,14.69,15.43,50.58,0,1,3,6,21,0,1,1,3,0,6,6,6,0,0,2,1.85,1,203,94,8,24.96,46.76,3.37,5.03,10.13,5.96,130.2,217.67,304.55,218.15,86.4,256.14,48.41,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.96,10.13,217.67,217.67,218.15,218.15,27.64,27.64,0,1,1,0.007680492,0.011574074
UXWKNNJFYZFNDI-UHFFFAOYSA-N,C1C[NH2+]CC[NH2+]1.[Br-].[Br-],247.96,C1C[NH2+]CC[NH2+]1,88.153,1000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000001000000000010000000000000000000000000000000000000000000000,4,2,10.57,10.29,48.28,1,0,6,0,18,0,0,0,0,0,6,6,6,1,0,0,2,1,42,27,3,25.76,34.14,3.56,3.65,6.84,5.31,97.66,171.04,211.24,211.24,0,167.18,44.06,33.22,0,0,2,4,2,0,0,2,0,0,0,0,0,0,0,1,0,5.31,6.84,171.04,171.04,211.24,211.24,33.22,33.22,0,2,2,0.020479214,
QZCGFUVVXNFSLE-UHFFFAOYSA-N,[I-].[I-].C1C[NH2+]CC[NH2+]1,341.96,C1C[NH2+]CC[NH2+]1,88.153,1000000000000000000000000000000000000000000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000001000000000000001000000000010000000000000000000000000000000000000000000000,4,2,10.57,10.29,48.28,1,0,6,0,18,0,0,0,0,0,6,6,6,1,0,0,2,1,42,27,3,25.76,34.14,3.56,3.65,6.84,5.31,97.66,171.04,211.24,211.24,0,167.18,44.06,33.22,0,0,2,4,2,0,0,2,0,0,0,0,0,0,0,1,0,5.31,6.84,171.04,171.04,211.24,211.24,33.22,33.22,0,2,2,0.020479214,
HBPSMMXRESDUSG-UHFFFAOYSA-N,C1CC[NH2+]CC1.[I-],213.06,C1CC[NH2+]CC1,86.157,1000000000000000000000000000000000000000000000000000001000000000000000000010010000000000000000100000000000000000000000000100000000000110000000000000000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000,5,1,10.82,10.68,38.25,1,0,6,0,18,0,0,0,0,0,6,6,6,1,0,0,2,1,42,27,3,26.6,34.67,3.67,3.67,6.9,5.43,99.77,178.29,228.15,172.57,55.57,205.89,22.25,16.61,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,5.43,6.9,178.29,178.29,172.57,172.57,16.61,16.61,0,1,1,0.010023053,0.017995321
QNBVYCDYFJUNLO-UHDJGPCESA-N,CN1C=CC=CC1=C[NH+]=O.[I-],264.07,CN1C=CC=CC1=C[NH+]=O,137.161,0010010000000010100000100000000000000000000100100010000000010100000000000100000100000000000011000000000000000010000000000000000000000011001000000000100000000000000000000000000000101000010000100000000000000000000010000000000010000000000000011000100000100000,7,2,14.1,14.64,52.72,1,0,10,0,19,0,0,0,4,0,6,6,6,1,0,1,2.25,1,263,121,11,26.11,49.05,4.03,4.9,9.61,4.19,125.1,180.36,266.85,220.18,46.67,206.95,59.9,34.28,2,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4.19,9.61,182.55,182.55,179.05,179.05,33.87,33.87,1,1,1,0.007993605,0.021427041
UMDDLGMCNFAZDX-UHFFFAOYSA-O,[NH3+]CCC[NH3+].[I-].[I-],329.95,[NH3+]CCC[NH3+],76.142,1000000000000000000000000000000000010000000000000000000110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000001000000010000000,3,2,9.74,9.18,45.32,0,0,5,0,16,0,0,0,5,0,0,0,0,0,0,2,2.19,0,35,20,2,19.68,33.72,2.89,4.51,8.91,5.16,90.86,162.05,240.84,197.61,43.22,142.53,98.31,55.28,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,5.16,8.91,162.05,162.05,197.61,197.61,55.28,55.28,0,2,2,0.022011886,0.046274873
VFDOIPKMSSDMCV-UHFFFAOYSA-N,C1CC[NH2+]C1.[Br-],152.03,C1CC[NH2+]C1,72.130,1001000000000000000000000000000000000000000000000000001000000000000000000010010000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000,4,1,8.95,8.83,33.65,1,0,5,0,15,0,0,0,0,0,5,5,5,1,0,0,1.67,1,20,15,0,22.96,28.06,3.23,3.17,6.42,6.13,82.42,149.69,219.32,186.73,32.59,193.62,25.7,16.61,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,6.13,6.42,149.69,149.69,186.73,186.73,16.61,16.61,0,1,1,0.012132977,0.030684259
DMFMZFFIQRMJQZ-UHFFFAOYSA-N,C1CC[NH2+]C1.[I-],199.04,C1CC[NH2+]C1,72.130,1001000000000000000000000000000000000000000000000000001000000000000000000010010000000000000000000000000000000000000000000000000000000110000000000000000000000000000000000000000000000000000000000000001000000000010000000000000000000000000000000000000000000000,4,1,8.95,8.83,33.65,1,0,5,0,15,0,0,0,0,0,5,5,5,1,0,0,1.67,1,20,15,0,22.96,28.06,3.23,3.17,6.42,6.13,82.42,149.69,219.32,186.73,32.59,193.62,25.7,16.61,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,6.13,6.42,149.69,149.69,186.73,186.73,16.61,16.61,0,1,1,0.012132977,0.030684259
DYEHDACATJUKSZ-UHFFFAOYSA-N,C1C[NH+]2CCC1CC2.[Br-],192.10,C1C[NH+]2CCC1CC2,112.195,0000000000000000000000000000000000000000000000000000001000000000000100000000000000010000000000100000000000000010000000000000000000000000000000000000000000000000000000010100100000000000101000000000000000000000000000000000000000100000000000000000000000000000,7,1,13.6,13.63,45.96,2,0,8,0,23,0,0,0,0,0,8,6,6,2,0,0,2.03,2,87,54,7,30.34,35.14,3.45,3.57,7.11,6.87,124.01,213.9,228.21,183,45.2,218.97,9.24,4.44,0,0,1,1,0,1,0,1,0,0,0,0,0,0,3,0,0,6.87,7.11,213.9,213.9,183,183,4.44,4.44,0,1,1,0.008063866,0.022123894
LYHPZBKXSHVBDW-UHFFFAOYSA-N,C1C[NH+]2CCC1CC2.[I-],239.10,C1C[NH+]2CCC1CC2,112.195,0000000000000000000000000000000000000000000000000000001000000000000100000000000000010000000000100000000000000010000000000000000000000000000000000000000000000000000000010100100000000000101000000000000000000000000000000000000000100000000000000000000000000000,7,1,13.6,13.63,45.96,2,0,8,0,23,0,0,0,0,0,8,6,6,2,0,0,2.03,2,87,54,7,30.34,35.14,3.45,3.57,7.11,6.87,124.01,213.9,228.21,183,45.2,218.97,9.24,4.44,0,0,1,1,0,1,0,1,0,0,0,0,0,0,3,0,0,6.87,7.11,213.9,213.9,183,183,4.44,4.44,0,1,1,0.008063866,0.022123894
UXYJHTKQEFCXBJ-UHFFFAOYSA-N,C(CC(C)(C)[NH3+])(C)(C)C.[I-],257.16,CC(C)(C)CC(C)(C)[NH3+],130.254,0000010000000000000100000000000000000000000000000000000110000000000001000100000000000000000000000000000000000000010000000000000000011000000011000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,1,17.19,16.96,53.17,0,0,9,0,28,0,0,0,9,0,0,0,0,0,0,2,3.75,0,173,88,6,31.48,45.62,3.39,4.64,9.14,6.06,162.42,301.19,304.39,239.21,65.18,283.03,21.36,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6.06,9.14,301.19,301.19,239.21,239.21,27.64,27.64,0,1,1,0.006156877,0.015342129
BJDYCCHRZIFCGN-UHFFFAOYSA-N,C1=CC=[NH+]C=C1.[I-],207.01,C1=CC=[NH+]C=C1,80.109,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000001001000000000000000100010000000000000000000000001000000000100000000100000000000000000100000000000000000000000010000000000,5,1,8.66,9.68,25.16,0,1,0,6,12,0,0,0,0,0,6,6,6,0,1,0,2,1,42,27,3,19.09,33.64,3.39,3.62,7.22,3.4,80.02,132.81,239.88,222.49,17.39,185.06,54.82,14.14,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,3.4,7.22,132.81,132.81,222.49,222.49,14.14,14.14,0,1,1,0.012496876,0.057504313
ZEVRFFCPALTVDN-UHFFFAOYSA-N,C1CCC(CC1)C[NH3+].[I-],241.11,[NH3+]CC1CCCCC1,114.211,0000000000000000000000100000000000000000000100000001001110000000000010000000010000000000000000010000000010000001000000000100000000000000000000010000000000000000000000000100000000000000000000000000000000000000000000000000000000100000001000000000000010000000,7,1,14.74,14.37,46.96,1,0,8,0,24,1,0,1,2,0,6,6,6,0,0,1,2.13,1,122,64,7,28.32,45.68,3.7,4.78,9.33,5.66,133.35,233.86,265.92,213.57,52.34,224.73,41.18,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.66,9.33,233.86,233.86,213.57,213.57,27.64,27.64,0,1,1,0.007499063,0.019105846
WGYRINYTHSORGH-UHFFFAOYSA-N,C1CCC(CC1)[NH3+].[I-],227.09,[NH3+]C1CCCCC1,100.184,0000000000000000000000000000001000000000000100000000001010000100000000000000010000000000000000000000000000000000000000000100000000000000000000010000000000000000001000000100000000000000000001000000000000000000000000010000000000100000000000000000000000000000,6,1,12.76,12.53,42.23,1,0,7,0,21,1,0,1,1,0,6,6,6,0,0,0,1.82,1,71,42,5,27.29,39.89,3.63,4.16,8.2,5.38,116.34,203.39,239.74,190.24,49.5,200.22,39.52,27.64,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,5.38,8.2,203.39,203.39,190.24,190.24,27.64,27.64,0,1,1,0.008595496,0.02020202
XZUCBFLUEBDNSJ-UHFFFAOYSA-N,C(CC[NH3+])C[NH3+].[I-].[I-],343.98,[NH3+]CCCC[NH3+],90.169,1000000000000000000000000000000000010000000000000000000110000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000100000000000000000000000000000000010000000,4,2,11.75,11.03,49.96,0,0,6,0,19,0,0,0,6,0,0,0,0,0,0,3,2.34,0,70,35,3,19.69,39.38,2.86,5.15,10.3,5.32,107.81,192.61,272.87,230.32,42.55,175.02,97.85,55.28,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,5.32,10.3,192.61,192.61,230.32,230.32,55.28,55.28,0,2,2,0.018551155,0.047003525
RYYSZNVPBLKLRS-UHFFFAOYSA-N,C1=CC(=CC=C1[NH3+])[NH3+].[I-].[I-],363.97,[NH3+]C1=CC=C([NH3+])C=C1,110.159,0000000000000000000100000000000000000001000000000000000010000000000100000000000000000000000010000000001000010000000000000000000000000001000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000,6,2,12.61,13.2,55.92,0,1,2,6,18,0,1,1,2,0,6,6,6,0,0,0,2.19,1,115,62,7,22.02,42.74,3.5,4.46,8.86,4.31,110.43,176.15,256.81,256.81,0,153.29,103.52,55.28,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,4.31,8.86,176.15,176.15,256.81,256.81,55.28,55.28,0,2,2,0.018111021,
DWOWCUCDJIERQX-UHFFFAOYSA-M,C1CC[N+]2(C1)CCCC2.[I-],253.12,C1CC[N+]2(C1)CCCC2,126.222,0000000000000000010000000000000001000000000000000000001000000000000100000000010000000000000000100000000000000000001000010000000000001000000100001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8,1,15.62,15.48,50.98,2,0,9,0,26,0,0,0,0,0,9,5,5,2,0,0,1.84,2,140,78,8,30.33,42.03,3.3,4.4,8.76,6.2,140.54,251.81,263.69,240.7,22.99,263.69,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.2,8.76,251.81,251.81,240.7,240.7,0,0,0,0,1,0.007115412,0.043497173
YYMLRIWBISZOMT-UHFFFAOYSA-N,CC[NH2+]CC.[I-],201.05,CC[NH2+]CC,74.146,0000110000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000010000000000000001000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000,4,1,10,9.57,35.61,0,0,5,0,16,0,0,0,5,0,0,0,0,0,0,2,2.19,0,35,20,2,19.22,34.28,2.8,4.54,9.15,5.73,93.95,177.5,287.17,206.64,80.53,267.53,19.64,16.61,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,5.73,9.15,177.5,177.5,206.64,206.64,16.61,16.61,0,1,1,0.01064396,0.012417733
UVLZLKCGKYLKOR-UHFFFAOYSA-N,C1CC[NH+](C1)CC[NH3+].[I-].[I-],370.02,[NH3+]CC[NH+]1CCCC1,116.207,0000000000000000000000010000000000010000000000000001001110000000000100000000010000010000000000000000000000000000000000000000010000000100000000000000000000001000000000000000010000000000001000000000000000000000000010000000000000000000001010000000000010000000,6,2,14.6,13.98,57.79,1,0,8,0,24,0,0,0,3,0,5,5,5,1,0,2,2.06,1,135,67,5,25.85,44.29,3.23,5.03,10.25,6.39,131.49,235.46,281.41,258.43,22.98,226.65,54.76,32.08,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0,0,0,6.39,10.25,235.46,235.46,258.43,258.43,32.08,32.08,0,2,2,0.015210282,0.087032202
