"Solvent","InChIKey","Volume","δd","δp","δh","δt"
"Entity[""Chemical"", ""BenzylEther""]","MHDVGSVTJDSBDK-UHFFFAOYSA-N","Quantity[192.7, ""Centimeters""^3/""Moles""]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[3.7, Sqrt[""Megapascals""]]","Quantity[7.4, Sqrt[""Megapascals""]]","Quantity[19.2, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Biphenyl""]","ZUOUZKKEUPVFJK-UHFFFAOYSA-N","Quantity[154.1, ""Centimeters""^3/""Moles""]","Quantity[21.5, Sqrt[""Megapascals""]]","Quantity[1., Sqrt[""Megapascals""]]","Quantity[2., Sqrt[""Megapascals""]]","Quantity[21.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bis2ChloroisopropylEther""]","BULHJTXRZFEUDQ-UHFFFAOYSA-N","Quantity[146., ""Centimeters""^3/""Moles""]","Quantity[19., Sqrt[""Megapascals""]]","Quantity[8.2, Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[21.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromobenzene""]","QARVLSVVCXYDNA-UHFFFAOYSA-N","Quantity[105.3, ""Centimeters""^3/""Moles""]","Quantity[20.5, Sqrt[""Megapascals""]]","Quantity[5.5, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[21.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromochloromethane""]","JPOXNPPZZKNXOV-UHFFFAOYSA-N","Quantity[65., ""Centimeters""^3/""Moles""]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[3.5, Sqrt[""Megapascals""]]","Quantity[18.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromoethane""]","RDHPKYGYEGBMSE-UHFFFAOYSA-N","Quantity[76.9, ""Centimeters""^3/""Moles""]","Quantity[16.6, Sqrt[""Megapascals""]]","Quantity[8., Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[19., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromoform""]","DIKBFYAXUHHXCS-UHFFFAOYSA-N","Quantity[87.5, ""Centimeters""^3/""Moles""]","Quantity[21.5, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[22.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Bromotrifluoromethane""]","RJCQBQGAPKAMLL-UHFFFAOYSA-N","Quantity[97., ""Centimeters""^3/""Moles""]","Quantity[9.6, Sqrt[""Megapascals""]]","Quantity[2.5, Sqrt[""Megapascals""]]","Quantity[0., Sqrt[""Megapascals""]]","Quantity[10., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Butoxypropanol""]","IDQBJILTOGBZCR-UHFFFAOYSA-N","Quantity[132., ""Centimeters""^3/""Moles""]","Quantity[15.3, Sqrt[""Megapascals""]]","Quantity[4.5, Sqrt[""Megapascals""]]","Quantity[9.2, Sqrt[""Megapascals""]]","Quantity[18.41140950606444, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""ButylAcetate""]","DKPFZGUDAPQIHT-UHFFFAOYSA-N","Quantity[132.5, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[3.7, Sqrt[""Megapascals""]]","Quantity[6.3, Sqrt[""Megapascals""]]","Quantity[17.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Butylamine""]","HQABUPZFAYXKJW-UHFFFAOYSA-N","Quantity[99., ""Centimeters""^3/""Moles""]","Quantity[16.2, Sqrt[""Megapascals""]]","Quantity[4.5, Sqrt[""Megapascals""]]","Quantity[8., Sqrt[""Megapascals""]]","Quantity[18.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""ButylBenzoate""]","XSIFPSYPOVKYCO-UHFFFAOYSA-N","Quantity[178.1, ""Centimeters""^3/""Moles""]","Quantity[18.3, Sqrt[""Megapascals""]]","Quantity[5.6, Sqrt[""Megapascals""]]","Quantity[5.5, Sqrt[""Megapascals""]]","Quantity[19.912307751739878, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""ButylLactate""]","MRABAEUHTLLEML-UHFFFAOYSA-N","Quantity[149., ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[6.5, Sqrt[""Megapascals""]]","Quantity[10.2, Sqrt[""Megapascals""]]","Quantity[19.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""ButylPropionate""]","BTMVHUNTONAYDX-UHFFFAOYSA-N","Quantity[149.3, ""Centimeters""^3/""Moles""]","Quantity[15.7, Sqrt[""Megapascals""]]","Quantity[5.5, Sqrt[""Megapascals""]]","Quantity[5.9, Sqrt[""Megapascals""]]","Quantity[17.650779019635365, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""ButylStearate""]","ULBTUVJTXULMLP-UHFFFAOYSA-N","Quantity[382., ""Centimeters""^3/""Moles""]","Quantity[14.5, Sqrt[""Megapascals""]]","Quantity[3.7, Sqrt[""Megapascals""]]","Quantity[3.5, Sqrt[""Megapascals""]]","Quantity[15.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Butyraldehyde""]","ZTQSAGDEMFDKMZ-UHFFFAOYSA-N","Quantity[88.5, ""Centimeters""^3/""Moles""]","Quantity[14.7, Sqrt[""Megapascals""]]","Quantity[5.3, Sqrt[""Megapascals""]]","Quantity[7., Sqrt[""Megapascals""]]","Quantity[17.2, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""ButyricAcid""]","FERIUCNNQQJTOY-UHFFFAOYSA-N","Quantity[110., ""Centimeters""^3/""Moles""]","Quantity[14.9, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[10.6, Sqrt[""Megapascals""]]","Quantity[18.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Butyronitrile""]","KVNRLNFWIYMESJ-UHFFFAOYSA-N","Quantity[87., ""Centimeters""^3/""Moles""]","Quantity[15.3, Sqrt[""Megapascals""]]","Quantity[12.5, Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[20.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Caprolactone""]","PAPBSGBWRJIAAV-UHFFFAOYSA-N","Quantity[110.8, ""Centimeters""^3/""Moles""]","Quantity[19.7, Sqrt[""Megapascals""]]","Quantity[15., Sqrt[""Megapascals""]]","Quantity[7.4, Sqrt[""Megapascals""]]","Quantity[25.84279396659734, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""CarbonDisulfide""]","QGJOPFRUJISHPQ-UHFFFAOYSA-N","Quantity[60., ""Centimeters""^3/""Moles""]","Quantity[20.5, Sqrt[""Megapascals""]]","Quantity[0., Sqrt[""Megapascals""]]","Quantity[0.6, Sqrt[""Megapascals""]]","Quantity[20.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""CarbonTetrachloride""]","VZGDMQKNWNREIO-UHFFFAOYSA-N","Quantity[97.1, ""Centimeters""^3/""Moles""]","Quantity[17.8, Sqrt[""Megapascals""]]","Quantity[0., Sqrt[""Megapascals""]]","Quantity[0.6, Sqrt[""Megapascals""]]","Quantity[17.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Chlorobenzene""]","MVPPADPHJFYWMZ-UHFFFAOYSA-N","Quantity[102.1, ""Centimeters""^3/""Moles""]","Quantity[19., Sqrt[""Megapascals""]]","Quantity[4.3, Sqrt[""Megapascals""]]","Quantity[2., Sqrt[""Megapascals""]]","Quantity[19.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Chlorodifluoromethane""]","VOPWNXZWBYDODV-UHFFFAOYSA-N","Quantity[72.9, ""Centimeters""^3/""Moles""]","Quantity[12.3, Sqrt[""Megapascals""]]","Quantity[6.3, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[14.9, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Chloroform""]","HEDRZPFGACZZDS-UHFFFAOYSA-N","Quantity[80.7, ""Centimeters""^3/""Moles""]","Quantity[17.8, Sqrt[""Megapascals""]]","Quantity[3.1, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[19., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Chloromethane""]","NEHMKBQYUWJMIP-UHFFFAOYSA-N","Quantity[55.4, ""Centimeters""^3/""Moles""]","Quantity[15.3, Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[3.9, Sqrt[""Megapascals""]]","Quantity[17., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Cyanol""]","PAYRUJLWNCNPSJ-UHFFFAOYSA-N","Quantity[91.5, ""Centimeters""^3/""Moles""]","Quantity[19.4, Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[10.2, Sqrt[""Megapascals""]]","Quantity[22.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Cyclohexane""]","XDTMQSROBMDMFD-UHFFFAOYSA-N","Quantity[108.9, ""Centimeters""^3/""Moles""]","Quantity[16.8, Sqrt[""Megapascals""]]","Quantity[0., Sqrt[""Megapascals""]]","Quantity[0.2, Sqrt[""Megapascals""]]","Quantity[16.801190434013897, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Cyclohexanol""]","HPXRVTGHNJAIIH-UHFFFAOYSA-N","Quantity[106., ""Centimeters""^3/""Moles""]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[13.5, Sqrt[""Megapascals""]]","Quantity[22.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Cyclohexanone""]","JHIVVAPYMSGYDF-UHFFFAOYSA-N","Quantity[104., ""Centimeters""^3/""Moles""]","Quantity[17.8, Sqrt[""Megapascals""]]","Quantity[6.3, Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[19.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Cyclohexylamine""]","PAFZNILMFXTMIY-UHFFFAOYSA-N","Quantity[115.2, ""Centimeters""^3/""Moles""]","Quantity[17.4, Sqrt[""Megapascals""]]","Quantity[3.1, Sqrt[""Megapascals""]]","Quantity[6.5, Sqrt[""Megapascals""]]","Quantity[18.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DibutylPhthalate""]","DOIRQSBPFJWKBE-UHFFFAOYSA-N","Quantity[266., ""Centimeters""^3/""Moles""]","Quantity[17.8, Sqrt[""Megapascals""]]","Quantity[8.6, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[20.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DibutylSebacate""]","PYGXAGIECVVIOZ-UHFFFAOYSA-N","Quantity[339., ""Centimeters""^3/""Moles""]","Quantity[13.9, Sqrt[""Megapascals""]]","Quantity[4.5, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[16.2, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Dichlorofluoromethane""]","UMNKXPULIDJLSU-UHFFFAOYSA-N","Quantity[75.4, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[3.1, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[17., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Dichloromethane""]","YMWUJEATGCHHMB-UHFFFAOYSA-N","Quantity[63.9, ""Centimeters""^3/""Moles""]","Quantity[18.2, Sqrt[""Megapascals""]]","Quantity[6.3, Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[20.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Diethylamine""]","HPNMFZURTQLUMO-UHFFFAOYSA-N","Quantity[103.2, ""Centimeters""^3/""Moles""]","Quantity[14.9, Sqrt[""Megapascals""]]","Quantity[2.3, Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[16.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiethylCarbonate""]","OIFBSDVPJOWBCH-UHFFFAOYSA-N","Quantity[121., ""Centimeters""^3/""Moles""]","Quantity[16.6, Sqrt[""Megapascals""]]","Quantity[3.1, Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[18., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiethyleneGlycolButylEther""]","OAYXUHPQHDHDDZ-UHFFFAOYSA-N","Quantity[170.6, ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[7., Sqrt[""Megapascals""]]","Quantity[10.6, Sqrt[""Megapascals""]]","Quantity[20.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiethyleneGlycolDimethylEther""]","SBZXBUIDTXKZTM-UHFFFAOYSA-N","Quantity[142., ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[6.1, Sqrt[""Megapascals""]]","Quantity[9.2, Sqrt[""Megapascals""]]","Quantity[19.2, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiethyleneGlycolMethylEther""]","SBASXUCJHJRPEV-UHFFFAOYSA-N","Quantity[118., ""Centimeters""^3/""Moles""]","Quantity[16.2, Sqrt[""Megapascals""]]","Quantity[7.8, Sqrt[""Megapascals""]]","Quantity[12.7, Sqrt[""Megapascals""]]","Quantity[21.9, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiethyleneGlycolMonoethylEther""]","XXJWXESWEXIICW-UHFFFAOYSA-N","Quantity[130.9, ""Centimeters""^3/""Moles""]","Quantity[16.2, Sqrt[""Megapascals""]]","Quantity[9.2, Sqrt[""Megapascals""]]","Quantity[12.3, Sqrt[""Megapascals""]]","Quantity[22.3, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Diethylenetriamine""]","RPNUMPOLZDHAAY-UHFFFAOYSA-N","Quantity[108., ""Centimeters""^3/""Moles""]","Quantity[16.8, Sqrt[""Megapascals""]]","Quantity[13.3, Sqrt[""Megapascals""]]","Quantity[14.3, Sqrt[""Megapascals""]]","Quantity[25.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiethylEther""]","RTZKZFJDLAIYFH-UHFFFAOYSA-N","Quantity[104.8, ""Centimeters""^3/""Moles""]","Quantity[14.5, Sqrt[""Megapascals""]]","Quantity[2.9, Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[15.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiethylPhthalate""]","FLKPEMZONWLCSK-UHFFFAOYSA-N","Quantity[198., ""Centimeters""^3/""Moles""]","Quantity[17.6, Sqrt[""Megapascals""]]","Quantity[9.6, Sqrt[""Megapascals""]]","Quantity[4.5, Sqrt[""Megapascals""]]","Quantity[20.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiethylSulfate""]","DENRZWYUOJLTMF-UHFFFAOYSA-N","Quantity[131.5, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[14.7, Sqrt[""Megapascals""]]","Quantity[7.2, Sqrt[""Megapascals""]]","Quantity[22.7, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiethylSulfide""]","LJSQFQKUNVCTIA-UHFFFAOYSA-N","Quantity[108.2, ""Centimeters""^3/""Moles""]","Quantity[17., Sqrt[""Megapascals""]]","Quantity[3.1, Sqrt[""Megapascals""]]","Quantity[2., Sqrt[""Megapascals""]]","Quantity[17.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiisopropylEther""]","ZAFNJMIOTHYJRJ-UHFFFAOYSA-N","Quantity[141.8, ""Centimeters""^3/""Moles""]","Quantity[15.1, Sqrt[""Megapascals""]]","Quantity[3.2, Sqrt[""Megapascals""]]","Quantity[3.2, Sqrt[""Megapascals""]]","Quantity[15.763565586503582, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DimethylPhthalate""]","NIQCNGHVCWTJSM-UHFFFAOYSA-N","Quantity[163., ""Centimeters""^3/""Moles""]","Quantity[18.6, Sqrt[""Megapascals""]]","Quantity[10.8, Sqrt[""Megapascals""]]","Quantity[4.9, Sqrt[""Megapascals""]]","Quantity[22.1, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DimethylSulfone""]","HHVIBTZHLRERCL-UHFFFAOYSA-N","Quantity[75., ""Centimeters""^3/""Moles""]","Quantity[19., Sqrt[""Megapascals""]]","Quantity[19.4, Sqrt[""Megapascals""]]","Quantity[12.3, Sqrt[""Megapascals""]]","Quantity[29.9, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DimethylSulfoxide""]","IAZDPXIOMUYVGZ-UHFFFAOYSA-N","Quantity[71.3, ""Centimeters""^3/""Moles""]","Quantity[18.4, Sqrt[""Megapascals""]]","Quantity[16.4, Sqrt[""Megapascals""]]","Quantity[10.2, Sqrt[""Megapascals""]]","Quantity[26.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiNOctylPhthalate""]","MQIUGAXCHLFZKX-UHFFFAOYSA-N","Quantity[277., ""Centimeters""^3/""Moles""]","Quantity[16.6, Sqrt[""Megapascals""]]","Quantity[7., Sqrt[""Megapascals""]]","Quantity[3.1, Sqrt[""Megapascals""]]","Quantity[18.2, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Dipropylamine""]","WEHWNAOGRSTTBQ-UHFFFAOYSA-N","Quantity[136.9, ""Centimeters""^3/""Moles""]","Quantity[15.3, Sqrt[""Megapascals""]]","Quantity[1.4, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[16., Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DipropyleneGlycol""]","AZUXKVXMJOIAOF-UHFFFAOYSA-N","Quantity[131.8, ""Centimeters""^3/""Moles""]","Quantity[16.5, Sqrt[""Megapascals""]]","Quantity[10.6, Sqrt[""Megapascals""]]","Quantity[17.7, Sqrt[""Megapascals""]]","Quantity[26.417797031546744, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DiPropyleneGlycolButylEther""]","CUVLMZNMSPJDON-UHFFFAOYSA-N","Quantity[211.2, ""Centimeters""^3/""Moles""]","Quantity[15.7, Sqrt[""Megapascals""]]","Quantity[6.5, Sqrt[""Megapascals""]]","Quantity[10., Sqrt[""Megapascals""]]","Quantity[19.716490559934847, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DLLimonene""]","XMGQYMWWDOXHJM-UHFFFAOYSA-N","Quantity[162.9, ""Centimeters""^3/""Moles""]","Quantity[17.2, Sqrt[""Megapascals""]]","Quantity[1.8, Sqrt[""Megapascals""]]","Quantity[4.3, Sqrt[""Megapascals""]]","Quantity[17.820493820318223, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""DowanolDpm""]","CUDYYMUUJHLCGZ-UHFFFAOYSA-N","Quantity[156.1, ""Centimeters""^3/""Moles""]","Quantity[15.5, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[11.2, Sqrt[""Megapascals""]]","Quantity[19.954448125668623, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Epichlorohydrin""]","BRLQWZUYTZBJKN-UHFFFAOYSA-N","Quantity[79.9, ""Centimeters""^3/""Moles""]","Quantity[19., Sqrt[""Megapascals""]]","Quantity[10.2, Sqrt[""Megapascals""]]","Quantity[3.7, Sqrt[""Megapascals""]]","Quantity[21.9, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Ethanethiol""]","DNJIEGIFACGWOD-UHFFFAOYSA-N","Quantity[74.3, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[6.5, Sqrt[""Megapascals""]]","Quantity[7.2, Sqrt[""Megapascals""]]","Quantity[18.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Ethanol""]","LFQSCWFLJHTTHZ-UHFFFAOYSA-N","Quantity[58.6, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[8.8, Sqrt[""Megapascals""]]","Quantity[19.4, Sqrt[""Megapascals""]]","Quantity[26.522443326360413, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Ethanolamine""]","HZAXFHJVJLSVMW-UHFFFAOYSA-N","Quantity[58.5, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[8.8, Sqrt[""Megapascals""]]","Quantity[19.4, Sqrt[""Megapascals""]]","Quantity[26.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""EthylAcetate""]","XEKOWRVHYACXOJ-UHFFFAOYSA-N","Quantity[98.5, ""Centimeters""^3/""Moles""]","Quantity[15.8, Sqrt[""Megapascals""]]","Quantity[5.3, Sqrt[""Megapascals""]]","Quantity[7.2, Sqrt[""Megapascals""]]","Quantity[18.2, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Ethylbenzene""]","YNQLUTRBYVCPMQ-UHFFFAOYSA-N","Quantity[123.1, ""Centimeters""^3/""Moles""]","Quantity[17.8, Sqrt[""Megapascals""]]","Quantity[0.6, Sqrt[""Megapascals""]]","Quantity[1.4, Sqrt[""Megapascals""]]","Quantity[17.8, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""EthylChloroformate""]","RIFGWPKJUGCATF-UHFFFAOYSA-N","Quantity[95.6, ""Centimeters""^3/""Moles""]","Quantity[15.5, Sqrt[""Megapascals""]]","Quantity[10., Sqrt[""Megapascals""]]","Quantity[6.8, Sqrt[""Megapascals""]]","Quantity[19.6, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""EthylCinnamate""]","KBEBGUQPQBELIU-CMDGGOBGSA-N","Quantity[166.8, ""Centimeters""^3/""Moles""]","Quantity[18.4, Sqrt[""Megapascals""]]","Quantity[8.2, Sqrt[""Megapascals""]]","Quantity[4.1, Sqrt[""Megapascals""]]","Quantity[20.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""EthyleneCarbonate""]","KMTRUDSVKNLOMY-UHFFFAOYSA-N","Quantity[66., ""Centimeters""^3/""Moles""]","Quantity[19.4, Sqrt[""Megapascals""]]","Quantity[21.7, Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[29.5, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""Ethylenediamine""]","PIICEJLVQHRZGT-UHFFFAOYSA-N","Quantity[67.3, ""Centimeters""^3/""Moles""]","Quantity[16.6, Sqrt[""Megapascals""]]","Quantity[8.8, Sqrt[""Megapascals""]]","Quantity[17., Sqrt[""Megapascals""]]","Quantity[25.4, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""EthyleneGlycol""]","LYCAIKOWRPUZTN-UHFFFAOYSA-N","Quantity[55.9, ""Centimeters""^3/""Moles""]","Quantity[17., Sqrt[""Megapascals""]]","Quantity[11., Sqrt[""Megapascals""]]","Quantity[26., Sqrt[""Megapascals""]]","Quantity[32.95451410656816, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""EthyleneGlycolButylEther""]","POAOYUHQDCAZBD-UHFFFAOYSA-N","Quantity[131.6, ""Centimeters""^3/""Moles""]","Quantity[16., Sqrt[""Megapascals""]]","Quantity[5.1, Sqrt[""Megapascals""]]","Quantity[12.3, Sqrt[""Megapascals""]]","Quantity[20.9, Sqrt[""Megapascals""]]"
"Entity[""Chemical"", ""EthyleneGlycolMonophenylEther""]","QCDWFXQBSFUVSP-UHFFFAOYSA-N","Quantity[124.7, ""Centimeters""^3/""Moles""]","Quantity[17.8, Sqrt[""Megapascals""]]","Quantity[5.7, Sqrt[""Megapascals""]]","Quantity[14.3, Sqrt[""Megapascals""]]","Quantity[23.533380547639137, Sqrt[""Megapascals""]]"
